物种,来源,工厂,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,RAPD分组,RAPD分组,RAPD分组,RAPD分组,生物被膜形成能力,生物被膜形成能力,生物被膜形成能力,血清分型,CC,ST型别,spa型别
Salmonella,刀具,山东地区,-,-,±,-,-,+,-,-,-,±,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,刀具,山东地区,-,-,-,-,-,-,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,-,+,+,+,+,-,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/, ,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,去皮前,山东地区,-,-,+,-,-,+,-,-,-,+,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,-,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,刀具,山东地区,-,-,±,-,-,+,-,-,-,±,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,+,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,+,-,-,+,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,分割肉,山东地区,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,-,+,+,+,+,-,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,刀具,山东地区,-,-,+,-,-,+,-,+,-,+,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,-,-,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,去皮前,山东地区,-,-,-,-,-,+,-,-,-,-,-,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,+,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,粪便,山东地区,±,-,±,-,±,+,+,±,-,±,-,-,±,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,粪便,山东地区,-,-,-,-,-,+,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,粪便,山东地区,-,-,±,-,-,±,±,-,-,±,-,±,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,-,-,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,+,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,-,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,粪便,山东地区,-,-,-,-,-,+,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,-,+,+,+,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,+,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,粪便,山东地区,-,-,±,-,±,+,±,±,-,±,±,±,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,粪便,山东地区,-,-,+,-,-,+,-,-,-,+,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,+,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,-,-,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,去皮前,山东地区,-,-,+,-,-,+,+,-,-,+,-,-,+,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,刀具,山东地区,-,-,-,-,-,+,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,-,-,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,刀具,山东地区,-,-,-,-,-,+,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,-,+,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,+,-,-,+,-,-,-,+,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,粪便,山东地区,-,-,±,-,-,±,±,-,-,±,-,±,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,+,-,-,+,-,-,-,+,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,+,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,去皮前,山东地区,-,-,+,-,-,+,-,-,-,+,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,去皮前,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,+,-,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,粪便,山东地区,-,-,±,-,±,+,±,±,-,±,±,±,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
